t,i1,i2,i3,sum
305.25,3.9152223,-4.11614681977499,0.200924519774988,-1.33226762955019e-15
305.5,3.9718328,-4.09410620254122,0.122273402541222,-1.55431223447522e-15
305.75,3.9941005,-4.15558591977499,0.161485419774988,-2.22044604925031e-15
306,3.9774537,-4.14726251977499,0.169808819774989,-2.22044604925031e-15
306.25,3.9136984,-4.11538486977499,0.201686469774988,-1.99840144432528e-15
306.5,3.9136984,-4.11538486977499,0.201686469774988,-1.99840144432528e-15
306.75,3.9941005,-4.15558591977499,0.161485419774988,-2.22044604925031e-15
307,3.9941005,-4.15558591977499,0.161485419774988,-2.22044604925031e-15
307.25,3.1834103,-3.88950116880514,0.706090868805142,-1.11022302462516e-15
307.5,0.8310082,-3.5488622995886,2.7178540995886,-1.33226762955019e-15
307.75,-0.186804,-3.38810715876652,3.57491115876652,-8.88178419700125e-16
308,-0.186804,-3.80588820585698,3.99269220585698,-1.33226762955019e-15
308.25,-0.1775608,-4.01940032940221,4.19696112940221,-8.88178419700125e-16
308.5,-0.186804,-4.1540391650349,4.3408431650349,-8.88178419700125e-16
308.75,-0.186804,-4.19797323998667,4.38477723998667,-1.77635683940025e-15
309,-0.186804,-4.22366933954998,4.41047333954998,-1.77635683940025e-15
309.25,-0.186804,-4.22366933954998,4.41047333954998,-1.77635683940025e-15
309.5,-0.186804,-4.19547146580022,4.38227546580022,-8.88178419700125e-16
309.75,-0.186804,-4.22366933954998,4.41047333954998,-1.77635683940025e-15
310,-0.1931584,-4.21498906772417,4.40814746772417,-8.88178419700125e-16
310.25,-0.186804,-4.16650075098012,4.35330475098012,-1.77635683940025e-15
310.5,-0.186804,-4.18446540875114,4.37126940875114,-8.88178419700125e-16
310.75,-0.186804,-4.20243006652217,4.38923406652217,-8.88178419700125e-16
311,-0.186804,-4.15731378029169,4.34411778029169,-8.88178419700125e-16
311.25,-0.1233646,-4.1857588650349,4.3091234650349,-8.88178419700125e-16
311.5,-0.186804,-4.19101463926472,4.37781863926472,-8.88178419700125e-16
311.75,-0.186804,-4.17305006809624,4.35985406809624,-8.88178419700125e-16
312,-0.2659979,-4.04481204051983,4.31080994051983,-1.77635683940025e-15
312.25,-1.4927718,-2.43968414822551,3.93245594822551,-4.44089209850063e-16
312.5,-3.3626049,-0.198712435112145,3.56131733511215,8.88178419700125e-16
312.75,-3.8242732,-0.0207260131349045,3.8449992131349,4.44089209850063e-16
313,-4.1278675,-0.0249717452599154,4.15283924525992,0
313.25,-4.2873065,0.0356009722928952,4.2517055277071,8.88178419700125e-16
313.5,-4.4481105,0.0655195802250081,4.38259091977499,0
313.75,-4.4481105,-0.0041105942900681,4.45222109429007,0
314,-4.4481105,-0.000700099647424235,4.44881059964742,0
314.25,-4.4481105,-0.0041105942900681,4.45222109429007,0
314.5,-4.4481105,0.0352292158946228,4.41288128410538,0
314.75,-4.4481105,-0.0041105942900681,4.45222109429007,0
315,-4.4481105,0.0655195802250081,4.38259091977499,0
315.25,-4.3677085,0.025318580225008,4.34238991977499,0
315.5,-4.3677085,-0.00274341413889978,4.3704519141389,8.88178419700125e-16
315.75,-4.4481105,0.0554222436321243,4.39268825636788,0
316,-4.3677085,0.025318580225008,4.34238991977499,0
316.25,-4.3975366,0.0402326302250078,4.35730396977499,0
316.5,-4.3677085,0.025318580225008,4.34238991977499,0
316.75,-4.0461005,0.560816411978313,3.48528408802169,0
317,-3.7244924,2.638273897413,1.086218502587,4.44089209850063e-16
317.25,-3.6764917,3.46780038596748,0.208691314032522,1.11022302462516e-15
317.5,-4.0992455,3.92963763511214,0.169607864887858,1.33226762955019e-15
317.75,-4.2134177,4.05635399622976,0.157063703770241,1.33226762955019e-15
318,-4.4481105,4.31296074525991,0.135149754740088,1.77635683940025e-15
318.25,-4.4481105,4.2826720263778,0.165438473622207,2.22044604925031e-15
318.5,-4.5038287,4.34081984525991,0.163008854740089,2.22044604925031e-15
318.75,-4.5245724,4.28497366083575,0.239598739164254,1.77635683940025e-15
319,-4.4481105,4.31296074525991,0.135149754740088,1.77635683940025e-15
319.25,-4.4481105,4.27584757299089,0.172262927009109,8.88178419700125e-16
319.5,-4.4259998,4.30190539525991,0.124094404740088,1.77635683940025e-15
319.75,-4.4481105,4.31296074525991,0.135149754740088,1.77635683940025e-15
320,-4.4481105,4.31296074525991,0.135149754740088,1.77635683940025e-15
320.25,-4.4481105,4.31296074525991,0.135149754740088,1.77635683940025e-15
320.5,-4.4481105,4.29604060072839,0.152069899271607,1.77635683940025e-15
320.75,-4.4469044,4.31235769525991,0.134546704740088,2.22044604925031e-15
321,-4.4481105,4.29395148764685,0.154159012353157,1.77635683940025e-15
321.25,-4.4481105,4.31296074525991,0.135149754740088,1.77635683940025e-15
321.5,-2.6792663,3.84631969235037,-1.16705339235037,6.66133814775094e-16
321.75,-1.2320301,3.61011290055845,-2.37808280055845,8.88178419700125e-16
