t,id,iq,omega,gamma
-218.7500E-03,-106.4020E-03,-321.6080E-03,-4.1206108E+00,+7.1964745E+00
-218.5000E-03,-106.4020E-03,-361.1579E-03,-4.2204544E+00,+6.9345247E+00
-218.2500E-03,-44.8061E-03,-321.6080E-03,-4.1193086E+00,+6.5733668E+00
-218.0000E-03,-26.0000E-03,-402.0100E-03,-4.1005025E+00,+6.3340984E+00
-217.7500E-03,-267.2060E-03,-218.5246E-03,-4.1809045E+00,+6.0105527E+00
-217.5000E-03,-230.2293E-03,-321.6080E-03,-4.2613065E+00,+5.8497487E+00
-217.2500E-03,-203.0370E-03,-321.6080E-03,-4.1809045E+00,+5.6889447E+00
-217.0000E-03,-186.8040E-03,-397.4992E-03,-4.2567957E+00,+5.4522494E+00
-216.7500E-03,-186.8040E-03,-321.6080E-03,-4.1257570E+00,+5.0709832E+00
-216.5000E-03,-140.8057E-03,-275.6097E-03,-4.1809045E+00,+4.8849246E+00
-216.2500E-03,-186.8040E-03,-321.6080E-03,-4.2613065E+00,+4.7241205E+00
-216.0000E-03,-106.4020E-03,-321.6080E-03,-4.1005025E+00,+4.5633165E+00
-215.7500E-03,-78.5743E-03,-321.6080E-03,-4.1809045E+00,+4.1613065E+00
-215.5000E-03,-106.4020E-03,-289.7775E-03,-4.1490739E+00,+4.0005025E+00
-215.2500E-03,-37.0868E-03,-321.6080E-03,-4.1809045E+00,+3.7592964E+00
-215.0000E-03,-186.8040E-03,-160.8040E-03,-4.1809045E+00,+3.5984924E+00
-214.7500E-03,-236.8052E-03,-321.6080E-03,-4.1005025E+00,+3.2768844E+00
-214.5000E-03,-267.2060E-03,-321.6080E-03,-4.2613065E+00,+3.0356784E+00
-214.2500E-03,-186.8040E-03,-321.6080E-03,-4.1005025E+00,+2.7140703E+00
-214.0000E-03,-186.8040E-03,-402.0100E-03,-4.1809045E+00,+2.5410362E+00
-213.7500E-03,-153.8301E-03,-402.0100E-03,-4.2613065E+00,+2.3120603E+00
-213.5000E-03,-160.1197E-03,-402.0100E-03,-4.2613065E+00,+2.0708542E+00
-213.2500E-03,-112.3425E-03,-396.0695E-03,-4.1749640E+00,+1.7492462E+00
-213.0000E-03,-91.5988E-03,-321.6080E-03,-4.2465032E+00,+1.5228434E+00
-212.7500E-03,-70.8550E-03,-321.6080E-03,-4.1809045E+00,+1.3472362E+00
-212.5000E-03,-26.0000E-03,-265.3172E-03,-4.2050157E+00,+1.1864321E+00
-212.2500E-03,-267.2060E-03,-241.2060E-03,-4.1809045E+00,+858.0893E-03
-212.0000E-03,-267.2060E-03,-304.2317E-03,-4.1178788E+00,+623.6181E-03
-211.7500E-03,-267.2060E-03,-321.6080E-03,-4.2190246E+00,+462.8141E-03
-211.5000E-03,-245.6680E-03,-321.6080E-03,-4.1220405E+00,+221.6080E-03
-211.2500E-03,-186.8040E-03,-321.6080E-03,-4.1809045E+00,-100.7943E-03
-211.0000E-03,-186.8040E-03,-341.5575E-03,-4.1005025E+00,-341.2060E-03
-210.7500E-03,-146.1107E-03,-361.3168E-03,-4.1809045E+00,-462.3013E-03
-210.5000E-03,-106.4020E-03,-321.6080E-03,-4.2423415E+00,-904.0201E-03
-210.2500E-03,-106.4020E-03,-321.6080E-03,-4.2613065E+00,-1.0666029E+00
-210.0000E-03,-48.5226E-03,-321.6080E-03,-4.1809045E+00,-1.2256281E+00
-209.7500E-03,+17.2664E-03,-321.6080E-03,-4.1809045E+00,-1.6276382E+00
-209.5000E-03,-250.8142E-03,-80.4020E-03,-4.1809045E+00,-1.8688442E+00
