x-axis,1,2,3,4
-80.7500E-03,-218.6743E-03,+80.4020E-03,-241.2060E-03,+414.2823E-03
-80.5000E-03,-197.9305E-03,+0.0E+00,-241.2060E-03,+393.5385E-03
-80.2500E-03,-186.8040E-03,+70.7847E-03,-170.4213E-03,+462.8141E-03
-80.0000E-03,-217.1651E-03,+80.4020E-03,-241.2060E-03,+462.8141E-03
-79.7500E-03,-216.1012E-03,+0.0E+00,-241.2060E-03,+462.8141E-03
-79.5000E-03,-258.6527E-03,+71.8487E-03,-241.2060E-03,+462.8141E-03
-79.2500E-03,-198.9944E-03,+0.0E+00,-241.2060E-03,+450.6236E-03
-79.0000E-03,-219.7382E-03,+0.0E+00,-241.2060E-03,+429.8799E-03
-78.7500E-03,-186.8040E-03,+0.0E+00,-241.2060E-03,+409.1361E-03
-78.5000E-03,-267.2060E-03,+0.0E+00,-235.2258E-03,+456.8338E-03
-78.2500E-03,-267.2060E-03,+0.0E+00,-241.2060E-03,+448.0505E-03
-78.0000E-03,-186.8040E-03,+0.0E+00,-241.2060E-03,+417.9194E-03
-77.7500E-03,-186.8040E-03,+0.0E+00,-217.0551E-03,+382.4121E-03
-77.5000E-03,-186.8040E-03,+0.0E+00,-164.2111E-03,+382.4121E-03
-77.2500E-03,-186.8040E-03,+0.0E+00,-178.1407E-03,+462.8141E-03
-77.0000E-03,-224.8845E-03,+0.0E+00,-241.2060E-03,+420.4925E-03
-76.7500E-03,-186.8040E-03,-58.8242E-03,-160.8040E-03,+441.2363E-03
-76.5000E-03,-266.3720E-03,-79.5680E-03,-240.3720E-03,+462.8141E-03
-76.2500E-03,-206.7138E-03,-80.4020E-03,-241.2060E-03,+462.8141E-03
-76.0000E-03,-186.8040E-03,-80.4020E-03,-200.5525E-03,+382.4121E-03
-75.7500E-03,-205.8087E-03,-80.4020E-03,-222.2014E-03,+443.8094E-03
-75.5000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+461.0750E-03
-75.2500E-03,-186.8040E-03,-80.4020E-03,-183.2869E-03,+382.4121E-03
-75.0000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+462.8141E-03
-74.7500E-03,-186.8040E-03,-96.8336E-03,-224.7745E-03,+398.8436E-03
-74.5000E-03,-186.8040E-03,-80.4020E-03,-236.8938E-03,+462.8141E-03
-74.2500E-03,-211.8600E-03,-105.4580E-03,-185.8600E-03,+462.8141E-03
-74.0000E-03,-186.8040E-03,-80.4020E-03,-195.4062E-03,+428.2118E-03
-73.7500E-03,-186.8040E-03,-80.4020E-03,-227.3476E-03,+396.2705E-03
-73.5000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+389.2974E-03
-73.2500E-03,-186.8040E-03,-133.1749E-03,-213.5769E-03,+382.4121E-03
-73.0000E-03,-186.8040E-03,-160.8040E-03,-209.1769E-03,+414.4412E-03
-72.7500E-03,-255.9207E-03,-160.8040E-03,-172.0893E-03,+451.5287E-03
-72.5000E-03,-186.8040E-03,-160.8040E-03,-160.8040E-03,+391.8705E-03
-72.2500E-03,-237.0038E-03,-80.4020E-03,-160.8040E-03,+412.6143E-03
-72.0000E-03,-267.2060E-03,-109.8580E-03,-160.8040E-03,+462.8141E-03
-71.7500E-03,-186.8040E-03,-160.8040E-03,-160.8040E-03,+382.4121E-03
-71.5000E-03,-186.8040E-03,-148.7724E-03,-160.8040E-03,+462.8141E-03
-71.2500E-03,-186.8040E-03,-160.8040E-03,-241.2060E-03,+382.4121E-03
-71.0000E-03,-186.8040E-03,-133.9211E-03,-160.8040E-03,+382.4121E-03
-70.7500E-03,-186.8040E-03,-160.8040E-03,-235.0669E-03,+462.8141E-03
-70.5000E-03,-186.8040E-03,-160.8040E-03,-226.6013E-03,+462.8141E-03
-70.2500E-03,-186.8040E-03,-160.8040E-03,-160.8040E-03,+382.4121E-03
-70.0000E-03,-186.8040E-03,-160.8040E-03,-185.1138E-03,+462.8141E-03
-69.7500E-03,-186.8040E-03,-160.8040E-03,-160.8040E-03,+385.9780E-03
-69.5000E-03,-169.6262E-03,-160.8040E-03,-160.8040E-03,+399.5899E-03
-69.2500E-03,-186.8040E-03,-160.8040E-03,-160.8040E-03,+420.3336E-03
-69.0000E-03,-186.8040E-03,-160.8040E-03,-219.4694E-03,+441.0774E-03
-68.7500E-03,-266.2132E-03,-160.8040E-03,-160.8040E-03,+462.8141E-03
-68.5000E-03,-126.1529E-03,-221.4551E-03,-160.8040E-03,+462.8141E-03
-68.2500E-03,-146.3093E-03,-160.8040E-03,-201.2987E-03,+422.3194E-03
-68.0000E-03,-186.8040E-03,-160.8040E-03,-160.8040E-03,+401.5756E-03
-67.7500E-03,-188.3843E-03,-239.6258E-03,-160.8040E-03,+461.2338E-03
-67.5000E-03,-186.8040E-03,-218.8820E-03,-218.8820E-03,+382.4121E-03
-67.2500E-03,-186.8040E-03,-160.8040E-03,-160.8040E-03,+462.8141E-03
-67.0000E-03,-186.8040E-03,-160.8040E-03,-160.8040E-03,+399.0025E-03
-66.7500E-03,-186.8040E-03,-241.2060E-03,-160.8040E-03,+386.5654E-03
-66.5000E-03,-186.8040E-03,-160.8040E-03,-216.3089E-03,+437.9169E-03
-66.2500E-03,-186.8040E-03,-160.8040E-03,-160.8040E-03,+417.1731E-03
-66.0000E-03,-172.7867E-03,-241.2060E-03,-227.1887E-03,+448.7968E-03
-65.7500E-03,-186.8040E-03,-160.8040E-03,-160.8040E-03,+462.8141E-03
-65.5000E-03,-186.8040E-03,-241.2060E-03,-160.8040E-03,+382.4121E-03
-65.2500E-03,-186.8040E-03,-192.9920E-03,-209.0181E-03,+430.6261E-03
-65.0000E-03,-186.8040E-03,-241.2060E-03,-172.2482E-03,+382.4121E-03
-64.7500E-03,-186.8040E-03,-170.1036E-03,-160.8040E-03,+462.8141E-03
-64.5000E-03,-186.8040E-03,-190.8474E-03,-160.8040E-03,+412.4554E-03
-64.2500E-03,-186.8040E-03,-190.4189E-03,-160.8040E-03,+382.4121E-03
-64.0000E-03,-124.1441E-03,-241.2060E-03,-169.6751E-03,+391.2831E-03
-63.7500E-03,-186.8040E-03,-241.2060E-03,-160.8040E-03,+450.9414E-03
-63.5000E-03,-186.8040E-03,-193.4205E-03,-160.8040E-03,+415.0285E-03
-63.2500E-03,-159.7623E-03,-241.2060E-03,-160.8040E-03,+382.4121E-03
-63.0000E-03,-186.8040E-03,-241.2060E-03,-234.9081E-03,+456.5161E-03
-62.7500E-03,-186.8040E-03,-241.2060E-03,-160.8040E-03,+462.8141E-03
-62.5000E-03,-186.8040E-03,-195.9936E-03,-160.8040E-03,+382.4121E-03
-62.2500E-03,-186.8040E-03,-241.2060E-03,-160.8040E-03,+438.3454E-03
-62.0000E-03,-186.8040E-03,-237.4812E-03,-160.8040E-03,+382.4121E-03
-61.7500E-03,-186.8040E-03,-241.2060E-03,-160.8040E-03,+462.8141E-03
-61.5000E-03,-186.8040E-03,-203.4433E-03,-160.8040E-03,+462.8141E-03
-61.2500E-03,-186.8040E-03,-241.2060E-03,-182.6995E-03,+462.8141E-03
-61.0000E-03,-186.8040E-03,-161.9557E-03,-240.0543E-03,+382.4121E-03
-60.7500E-03,-186.8040E-03,-180.3961E-03,-241.2060E-03,+402.0041E-03
-60.5000E-03,-146.7378E-03,-200.8702E-03,-201.1399E-03,+382.4121E-03
-60.2500E-03,-167.4816E-03,-180.1264E-03,-160.8040E-03,+443.4917E-03
-60.0000E-03,-186.8040E-03,-241.2060E-03,-160.8040E-03,+382.4121E-03
-59.7500E-03,-164.6388E-03,-219.0409E-03,-160.8040E-03,+440.6489E-03
-59.5000E-03,-149.3110E-03,-241.2060E-03,-160.8040E-03,+425.3210E-03
-59.2500E-03,-186.8040E-03,-241.2060E-03,-177.5533E-03,+462.8141E-03
-59.0000E-03,-186.8040E-03,-241.2060E-03,-160.8040E-03,+462.8141E-03
-58.7500E-03,-131.1403E-03,-241.2060E-03,-185.5423E-03,+382.4121E-03
-58.5000E-03,-186.8040E-03,-241.2060E-03,-160.8040E-03,+382.4121E-03
-58.2500E-03,-186.8040E-03,-241.2060E-03,-160.8040E-03,+462.8141E-03
