t,id,iq,omega,uzk
-203.5000E-03,-267.2060E-03,+80.4020E-03,+3.8592964E+00,+324.6482487E+00
-203.2500E-03,-267.2060E-03,+141.0134E-03,+3.8395058E+00,+324.6482487E+00
-203.0000E-03,-226.6716E-03,+160.8040E-03,+3.8592964E+00,+326.6749693E+00
-202.7500E-03,-248.0822E-03,+80.4020E-03,+3.8401726E+00,+324.6482487E+00
-202.5000E-03,-188.4240E-03,+80.4020E-03,+3.8592964E+00,+324.7292469E+00
-202.2500E-03,-267.2060E-03,+80.4020E-03,+3.7788944E+00,+324.6482487E+00
-202.0000E-03,-267.2060E-03,+80.4020E-03,+3.8220020E+00,+326.8036251E+00
-201.7500E-03,-186.8040E-03,+0.0E+00,+3.7954451E+00,+328.6683493E+00
-201.5000E-03,-186.8040E-03,-80.4020E-03,+3.7788944E+00,+324.6482487E+00
-201.2500E-03,-186.8040E-03,-80.4020E-03,+3.8038313E+00,+324.6482487E+00
-201.0000E-03,-267.2060E-03,-80.4020E-03,+3.7788944E+00,+322.9121803E+00
-200.7500E-03,-267.2060E-03,+0.0E+00,+3.7928720E+00,+327.9694699E+00
-200.5000E-03,-193.5702E-03,-6.7662E-03,+3.7788944E+00,+324.6482487E+00
-200.2500E-03,-186.8040E-03,+80.4020E-03,+3.8317865E+00,+324.6482487E+00
-200.0000E-03,-186.8040E-03,+80.4020E-03,+3.7788944E+00,+324.6482487E+00
-199.7500E-03,-198.2085E-03,+80.4020E-03,+3.7788944E+00,+328.0981257E+00
-199.5000E-03,-267.2060E-03,+80.4020E-03,+3.7788944E+00,+328.6683493E+00
-199.2500E-03,-186.8040E-03,+50.3189E-03,+3.7285755E+00,+324.6482487E+00
-199.0000E-03,-106.4020E-03,+29.5751E-03,+3.7788944E+00,+324.6482487E+00
-198.7500E-03,-186.8040E-03,+8.8314E-03,+3.8504651E+00,+324.6482487E+00
-198.5000E-03,-186.8040E-03,+0.0E+00,+3.7788944E+00,+324.6482487E+00
-198.2500E-03,-267.2060E-03,+0.0E+00,+3.8115506E+00,+324.6482487E+00
-198.0000E-03,-267.2060E-03,+0.0E+00,+3.7788944E+00,+324.6482487E+00
-197.7500E-03,-193.0623E-03,+74.1438E-03,+3.7851527E+00,+324.6482487E+00
-197.5000E-03,-186.8040E-03,+80.4020E-03,+3.7788944E+00,+327.9440722E+00
-197.2500E-03,-186.8040E-03,+125.5747E-03,+3.6984924E+00,+326.4097148E+00
-197.0000E-03,-186.8040E-03,+160.8040E-03,+3.8033233E+00,+327.4469039E+00
-196.7500E-03,-186.8040E-03,+160.8040E-03,+3.7021775E+00,+324.6482487E+00
-196.5000E-03,-186.8040E-03,+160.8040E-03,+3.8422378E+00,+324.6482487E+00
-196.2500E-03,-186.8040E-03,+160.8040E-03,+3.7788944E+00,+326.5383706E+00
-196.0000E-03,-164.9482E-03,+21.8558E-03,+3.7570386E+00,+328.6683493E+00
-195.7500E-03,-107.5140E-03,+79.2900E-03,+3.7788944E+00,+324.7038491E+00
-195.5000E-03,-206.4358E-03,+0.0E+00,+3.6984924E+00,+324.6482487E+00
-195.2500E-03,-227.1796E-03,+80.4020E-03,+3.8189209E+00,+324.6482487E+00
-195.0000E-03,-186.8040E-03,+141.5213E-03,+3.7177751E+00,+324.6482487E+00
-194.7500E-03,-186.8040E-03,+160.8040E-03,+3.7788944E+00,+324.6482487E+00
-194.5000E-03,-186.8040E-03,+160.8040E-03,+3.7788944E+00,+324.6482487E+00
-194.2500E-03,-186.8040E-03,+198.2574E-03,+3.6984924E+00,+324.6482487E+00
-194.0000E-03,-186.8040E-03,+241.2060E-03,+3.8592964E+00,+325.4837267E+00
-193.7500E-03,-186.8040E-03,+237.1718E-03,+3.8592964E+00,+324.8499597E+00
-193.5000E-03,-186.8040E-03,+136.0260E-03,+3.8345184E+00,+324.6482487E+00
-193.2500E-03,-186.8040E-03,+80.4020E-03,+3.8592964E+00,+324.6482487E+00
-193.0000E-03,-186.8040E-03,+0.0E+00,+3.7930309E+00,+323.9414264E+00
-192.7500E-03,-260.5987E-03,+0.0E+00,+3.7788944E+00,+324.6482487E+00
-192.5000E-03,-267.2060E-03,-80.4020E-03,+3.8592964E+00,+326.0158046E+00
-192.2500E-03,-267.2060E-03,+0.0E+00,+3.7788944E+00,+326.2636042E+00
-192.0000E-03,-267.2060E-03,+0.0E+00,+3.8592964E+00,+325.2264152E+00
-191.7500E-03,-258.0256E-03,+71.2216E-03,+3.7788944E+00,+324.6482487E+00
-191.5000E-03,-186.8040E-03,+80.4020E-03,+3.8592964E+00,+324.6482487E+00
-191.2500E-03,-267.2060E-03,+80.4020E-03,+3.8592964E+00,+324.6482487E+00
-191.0000E-03,-258.2158E-03,+80.4020E-03,+3.7788944E+00,+325.0977594E+00
-190.7500E-03,-267.2060E-03,+80.4020E-03,+3.8475429E+00,+324.6482487E+00
-190.5000E-03,-219.3014E-03,+0.0E+00,+3.7788944E+00,+324.6482487E+00
-190.2500E-03,-186.8040E-03,+0.0E+00,+3.8060553E+00,+327.3103052E+00
-190.0000E-03,-186.8040E-03,-73.9849E-03,+3.7853115E+00,+324.9691036E+00
-189.7500E-03,-252.8793E-03,+0.0E+00,+3.7788944E+00,+325.3645828E+00
-189.5000E-03,-267.2060E-03,+0.0E+00,+3.8139649E+00,+328.6683493E+00
-189.2500E-03,-242.6183E-03,+0.0E+00,+3.7230802E+00,+324.6482487E+00
-189.0000E-03,-186.8040E-03,+80.4020E-03,+3.7827384E+00,+324.6482487E+00
-188.7500E-03,-186.8040E-03,+80.4020E-03,+3.7788944E+00,+328.6683493E+00
-188.5000E-03,-186.8040E-03,+118.0456E-03,+3.8165380E+00,+324.6482487E+00
-188.2500E-03,-186.8040E-03,+80.4020E-03,+3.8592964E+00,+324.6482487E+00
-188.0000E-03,-265.9352E-03,+80.4020E-03,+3.6984924E+00,+324.6482487E+00
-187.7500E-03,-125.8749E-03,+141.3311E-03,+3.8592964E+00,+325.6218944E+00
-187.5000E-03,-186.8040E-03,+40.1853E-03,+3.7788944E+00,+324.6482487E+00
-187.2500E-03,-228.3230E-03,+0.0E+00,+3.7788944E+00,+325.6203254E+00
-187.0000E-03,-267.2060E-03,-79.0998E-03,+3.6984924E+00,+324.7133610E+00
-186.7500E-03,-267.2060E-03,+58.3560E-03,+3.7788944E+00,+324.6482487E+00
-186.5000E-03,-224.4162E-03,+118.0142E-03,+3.8592964E+00,+326.7877392E+00
-186.2500E-03,-186.8040E-03,+143.9356E-03,+3.7620260E+00,+324.6482487E+00
-186.0000E-03,-186.8040E-03,+164.6794E-03,+3.8554211E+00,+324.6482487E+00
-185.7500E-03,-186.8040E-03,+185.4232E-03,+3.7788944E+00,+324.6482487E+00
-185.5000E-03,-186.8040E-03,+241.2060E-03,+3.7788944E+00,+324.6482487E+00
-185.2500E-03,-186.8040E-03,+160.8040E-03,+3.7931897E+00,+323.9334835E+00
-185.0000E-03,-112.8505E-03,+160.8040E-03,+3.6984924E+00,+328.3459254E+00
